Alias	Original Name
winking tepig	Tepig (Winking)
winkingtepig	Tepig (Winking)
tepig winking	Tepig (Winking)
tepigwinking	Tepig (Winking)
threeforce	Three Force
Thundurus	Thundurus (Incarnate Forme)
Thundurus-I	Thundurus (Incarnate Forme)
thundurusincarnate	Thundurus (Incarnate Forme)
thundurus incarnate	Thundurus (Incarnate Forme)
thundurus i	Thundurus (Incarnate Forme)
thundurus incarnate form	Thundurus (Incarnate Forme)
thundurusincarnateform	Thundurus (Incarnate Forme)
thundurusi	Thundurus (Incarnate Forme)
Thundurus-T	Thundurus (Therian Forme)
ThundurusT	Thundurus (Therian Forme)
thundurus t	Thundurus (Therian Forme)
thundurus therian	Thundurus (Therian Forme)
thundurustherian	Thundurus (Therian Forme)
thundurustherianform	Thundurus (Therian Forme)
thundurus therian form	Thundurus (Therian Forme)
wtogekiss	Togekiss (Winking)
w togekiss	Togekiss (Winking)
togekissw	Togekiss (Winking)
togekiss w	Togekiss (Winking)
winking togekiss	Togekiss (Winking)
winkingtogekiss	Togekiss (Winking)
togekiss winking	Togekiss (Winking)
togekisswinking	Togekiss (Winking)
wtogetic	Togetic (Winking)
w togetic	Togetic (Winking)
togeticw	Togetic (Winking)
togetic w	Togetic (Winking)
winking togetic	Togetic (Winking)
winkingtogetic	Togetic (Winking)
togetic winking	Togetic (Winking)
togeticwinking	Togetic (Winking)
torchicc	Torchic
wtorchic	Torchic (Winking)
w torchic	Torchic (Winking)
torchicw	Torchic (Winking)
torchic w	Torchic (Winking)
winking torchic	Torchic (Winking)
winkingtorchic	Torchic (Winking)
torchic winking	Torchic (Winking)
torchicwinking	Torchic (Winking)
Tornadus	Tornadus (Incarnate Forme)
Tornadus-I	Tornadus (Incarnate Forme)
TornadusI	Tornadus (Incarnate Forme)
tornadusincarnate	Tornadus (Incarnate Forme)
tornadus incarnate	Tornadus (Incarnate Forme)
tornadus i	Tornadus (Incarnate Forme)
tornadusincarnateform	Tornadus (Incarnate Forme)
tornadus incarnate form	Tornadus (Incarnate Forme)
Tornadus-T	Tornadus (Therian Forme)
TornadusT	Tornadus (Therian Forme)
tornadus t	Tornadus (Therian Forme)
tornadus therian	Tornadus (Therian Forme)
tornadustherian	Tornadus (Therian Forme)
tornadus therian form	Tornadus (Therian Forme)
tornadustherianform	Tornadus (Therian Forme)
wtotodile	Totodile (Winking)
w totodile	Totodile (Winking)
totodilew	Totodile (Winking)
totodile w	Totodile (Winking)
winking totodile	Totodile (Winking)
winkingtotodile	Totodile (Winking)
totodile winking	Totodile (Winking)
totodilewinking	Totodile (Winking)
toxicstress	Toxic Stress
wtreecko	Treecko (Winking)
w treecko	Treecko (Winking)
treeckow	Treecko (Winking)
treecko w	Treecko (Winking)
winking treecko	Treecko (Winking)
winkingtreecko	Treecko (Winking)
treecko winking	Treecko (Winking)
treeckowinking	Treecko (Winking)
trev	Trevenant
th	Try Hard
tryhard	Try Hard
turt	Turtonator
wtwig	Turtwig (Winking)
turtwig w	Turtwig (Winking)
wturtwig	Turtwig (Winking)
w turtwig	Turtwig (Winking)
turtwigw	Turtwig (Winking)
wturt	Turtwig (Winking)
winking turtwig	Turtwig (Winking)
winkingturtwig	Turtwig (Winking)
turtwig winking	Turtwig (Winking)
turtwigwinking	Turtwig (Winking)
type null	Type: Null
type:null	Type: Null
typenull	Type: Null
TC	Typeless Combo
SL5 or bust	Typeless Combo
procless combo	Typeless Combo
I will ruin your run	Typeless Combo
typelesscombo	Typeless Combo
typh	Typhlosion
TTar	Tyranitar
s-ttar	Tyranitar (Shiny)
shiny ttar	Tyranitar (Shiny)
sttar	Tyranitar (Shiny)
brownietar	Tyranitar (Shiny)
tyranitar shiny	Tyranitar (Shiny)
ttar shiny	Tyranitar (Shiny)
ttarshiny	Tyranitar (Shiny)
s ttar	Tyranitar (Shiny)
shiny tyranitar	Tyranitar (Shiny)
shinytyranitar	Tyranitar (Shiny)
tyranitarshiny	Tyranitar (Shiny)
shinyttar	Tyranitar (Shiny)
tyranitar s	Tyranitar (Shiny)
unfezantf	Unfezant (Female)
unfezant f	Unfezant (Female)
unfezant female	Unfezant (Female)
unfezantfemale	Unfezant (Female)
unfezantm	Unfezant (Male)
unfezant m	Unfezant (Male)
unfezant male	Unfezant (Male)
unfezantmale	Unfezant (Male)
UP	Unity Power
U miss	Unity Power
sintonia fatale	Unity Power
unity miss	Unity Power
unitypower	Unity Power
unown a	Unown (A)
unowna	Unown (A)
a unown	Unown (A)
aunown	Unown (A)
unown b	Unown (B)
unownb	Unown (B)
b unown	Unown (B)
bunown	Unown (B)
unown c	Unown (C)
c unown	Unown (C)
unownc	Unown (C)
cunown	Unown (C)
unown d	Unown (D)
unownd	Unown (D)
d unown	Unown (D)
dunown	Unown (D)
unown e	Unown (E)
e unown	Unown (E)
unowne	Unown (E)
eunown	Unown (E)
unown!	Unown (Exclamation)
unown !	Unown (Exclamation)
!unown	Unown (Exclamation)
! unown	Unown (Exclamation)
unown f	Unown (F)
unownf	Unown (F)
f unown	Unown (F)
funown	Unown (F)
unown g	Unown (G)
unowng	Unown (G)
g unown	Unown (G)
gunown	Unown (G)
unown h	Unown (H)
unownh	Unown (H)
h unown	Unown (H)
hunown	Unown (H)
unown i	Unown (I)
i unown	Unown (I)
unowni	Unown (I)
iunown	Unown (I)
unown j	Unown (J)
unownj	Unown (J)
j unown	Unown (J)
junown	Unown (J)
unown k	Unown (K)
unownk	Unown (K)
k unown	Unown (K)
kunown	Unown (K)
unown l	Unown (L)
unownl	Unown (L)
l unown	Unown (L)
lunown	Unown (L)
unown m	Unown (M)
unownm	Unown (M)
m unown	Unown (M)
munown	Unown (M)
unown n	Unown (N)
n unown	Unown (N)
unownn	Unown (N)
nunown	Unown (N)
unown o	Unown (O)
unowno	Unown (O)
o unown	Unown (O)
ounown	Unown (O)
unown p	Unown (P)
unownp	Unown (P)
p unown	Unown (P)
punown	Unown (P)
unown q	Unown (Q)
unownq	Unown (Q)
q unown	Unown (Q)
qunown	Unown (Q)
unown?	Unown (Question)
unown ?	Unown (Question)
?unown	Unown (Question)
? unown	Unown (Question)
unown r	Unown (R)
unownr	Unown (R)
r unown	Unown (R)
runown	Unown (R)
unown s	Unown (S)
unowns	Unown (S)
s unown	Unown (S)
sunown	Unown (S)
unown t	Unown (T)
unownt	Unown (T)
t unown	Unown (T)
tunown	Unown (T)
unown u	Unown (U)
unownu	Unown (U)
u unown	Unown (U)
uunown	Unown (U)
unown v	Unown (V)
unownv	Unown (V)
v unown	Unown (V)
vunown	Unown (V)
unown w	Unown (W)
unownw	Unown (W)
w unown	Unown (W)
wunown	Unown (W)
unown x	Unown (X)
unownx	Unown (X)
x unown	Unown (X)
xunown	Unown (X)
unown y	Unown (Y)
unowny	Unown (Y)
y unown	Unown (Y)
yunown	Unown (Y)
unown z	Unown (Z)
unownz	Unown (Z)
z unown	Unown (Z)
zunown	Unown (Z)
up up up	Up, Up, Up
upupup	Up, Up, Up
ice cream	Vanillish
vanilla cupcake	Vanillite
holiday vanillite	Vanillite (Holiday)
holidayvanillite	Vanillite (Holiday)
vanillite holiday	Vanillite (Holiday)
vanilliteholiday	Vanillite (Holiday)
hvanillite	Vanillite (Holiday)
vanilliteh	Vanillite (Holiday)
h vanillite	Vanillite (Holiday)
vanillite h	Vanillite (Holiday)
ice cream deluxe	Vanilluxe
vd	Vitality Drain
vitalitydrain	Vitality Drain
vol	Volcanion
volc	Volcanion
vulpixa	Vulpix (Alola Form)
avulpix	Vulpix (Alola Form)
vulpix alola form	Vulpix (Alola Form)
vulpixalolaform	Vulpix (Alola Form)
vulpix alola	Vulpix (Alola Form)
vulpixalola	Vulpix (Alola Form)
alolan vulpix	Vulpix (Alola Form)
alolanvulpix	Vulpix (Alola Form)
vulpix a	Vulpix (Alola Form)
a vulpix	Vulpix (Alola Form)
LesserRichAssPtps	Wailmer
miniwhale	Wailmer
mini whale	Wailmer
RichassPtPs	Wailord
🐳	Wailord
whale	Wailord
p2w	Wailord
wwhimsicott	Whimsicott (Winking)
whimsicottw	Whimsicott (Winking)
winking whimsicott	Whimsicott (Winking)
winkingwhimsicott	Whimsicott (Winking)
w whimsicott	Whimsicott (Winking)
whimsicott winking	Whimsicott (Winking)
whimsicottwinking	Whimsicott (Winking)
whimsicott w	Whimsicott (Winking)
wishcash	Whiscash
wwigglytuff	Wigglytuff (Winking)
w wigglytuff	Wigglytuff (Winking)
wigglytuffw	Wigglytuff (Winking)
wigglytuff w	Wigglytuff (Winking)
winking wigglytuff	Wigglytuff (Winking)
winkingwigglytuff	Wigglytuff (Winking)
wigglytuff winking	Wigglytuff (Winking)
wigglytuffwinking	Wigglytuff (Winking)
f2p whale	Wishiwashi
f2pw	Wishiwashi
wobbuffetf	Wobbuffet (Female)
wobbuffet f	Wobbuffet (Female)
wobbuffet female	Wobbuffet (Female)
wobbuffetfemale	Wobbuffet (Female)
Sonansu	Wobbuffet (Male)
wobbuffetm	Wobbuffet (Male)
wobbuffet m	Wobbuffet (Male)
wobbuffet male	Wobbuffet (Male)
wobbuffetmale	Wobbuffet (Male)
wormadamplant	Wormadam (Plant Cloak)
wormadam plant cloak	Wormadam (Plant Cloak)
wormadam p	Wormadam (Plant Cloak)
wormadam plant	Wormadam (Plant Cloak)
plant wormadam	Wormadam (Plant Cloak)
plantwormadam	Wormadam (Plant Cloak)
wormadamp	Wormadam (Plant Cloak)
pwormadam	Wormadam (Plant Cloak)
p wormadam	Wormadam (Plant Cloak)
wormadamsandy	Wormadam (Sandy Cloak)
wormadam sandy cloak	Wormadam (Sandy Cloak)
wormadam sandy	Wormadam (Sandy Cloak)
wormadamsand	Wormadam (Sandy Cloak)
wormadam sand	Wormadam (Sandy Cloak)
sandywormadam	Wormadam (Sandy Cloak)
sandy wormadam	Wormadam (Sandy Cloak)
sandwormadam	Wormadam (Sandy Cloak)
sand wormadam	Wormadam (Sandy Cloak)
swormadam	Wormadam (Sandy Cloak)
wormadams	Wormadam (Sandy Cloak)
s wormadam	Wormadam (Sandy Cloak)
wormadam s	Wormadam (Sandy Cloak)
wormadamtrash	Wormadam (Trash Cloak)
wormadam t	Wormadam (Trash Cloak)
wormadam trash	Wormadam (Trash Cloak)
wormadam trash cloak	Wormadam (Trash Cloak)
trash wormadam	Wormadam (Trash Cloak)
trashwormadam	Wormadam (Trash Cloak)
wormadamt	Wormadam (Trash Cloak)
twormadam	Wormadam (Trash Cloak)
t wormadam	Wormadam (Trash Cloak)
sxern	Xerneas (Shiny)
xerneas shiny	Xerneas (Shiny)
shinyxern	Xerneas (Shiny)
shiny xern	Xerneas (Shiny)
shiny xerneas	Xerneas (Shiny)
shinyxerneas	Xerneas (Shiny)
sxerneas	Xerneas (Shiny)
s xerneas	Xerneas (Shiny)
xerneasshiny	Xerneas (Shiny)
xerneass	Xerneas (Shiny)
xerneas s	Xerneas (Shiny)
yveltal shiny	Yveltal (Shiny)
shiny yveltal	Yveltal (Shiny)
shinyyveltal	Yveltal (Shiny)
s yveltal	Yveltal (Shiny)
syveltal	Yveltal (Shiny)
yveltalshiny	Yveltal (Shiny)
yveltals	Yveltal (Shiny)
yveltal s	Yveltal (Shiny)
Z10	Zygarde (10% Forme)
Zygarde10	Zygarde (10% Forme)
zyg10	Zygarde (10% Forme)
zy10	Zygarde (10% Forme)
zydog	Zygarde (10% Forme)
zygarde 10	Zygarde (10% Forme)
zygarde10%	Zygarde (10% Forme)
zygarde 10%	Zygarde (10% Forme)
Z50	Zygarde (50% Forme)
Zygarde50	Zygarde (50% Forme)
zygarde50%	Zygarde (50% Forme)
zygarde 50	Zygarde (50% Forme)
zyg50	Zygarde (50% Forme)
zygarde 50%	Zygarde (50% Forme)
zy50	Zygarde (50% Forme)
zygarde cell	Zygarde (Cell)
zygardecell	Zygarde (Cell)
zcell	Zygarde (Cell)
zygcell	Zygarde (Cell)
Z100	Zygarde (Complete Forme)
Zygarde100	Zygarde (Complete Forme)
zyg100	Zygarde (Complete Forme)
zygarde 100	Zygarde (Complete Forme)
zygarde100%	Zygarde (Complete Forme)
zygarde 100%	Zygarde (Complete Forme)
zygarde complete	Zygarde (Complete Forme)
zygardecomplete	Zygarde (Complete Forme)
zygarde complete form	Zygarde (Complete Forme)
zygardecompleteform	Zygarde (Complete Forme)
zy100	Zygarde (Complete Forme)
zygardec	Zygarde (Complete Forme)
zygarde c	Zygarde (Complete Forme)
zygc	Zygarde (Complete Forme)
zcomplete	Zygarde (Complete Forme)
Zygarde 💯	Zygarde (Complete Forme)
zygcomplete	Zygarde (Complete Forme)
zycomplete	Zygarde (Complete Forme)
zyg complete	Zygarde (Complete Forme)
zc	Zygarde (Complete Forme)
zygarde core	Zygarde (Core)
zygardecore	Zygarde (Core)
zcore	Zygarde (Core)
zygcore	Zygarde (Core)
meg	Meganium
xern	Xerneas
jangmoo	Jangmo-o
hakamoo	Hakamo-o
kommoo	Kommo-o
disruptbuster	Disrupt Buster
gatr	Feraligatr
ytreza	Sentret
dian	Diancie
sdian	Diancie (Shiny)
smdian	Mega Diancie (Shiny)
msdian	Mega Diancie (Shiny)
mane	Manectric
dragonsweep	Dragon Sweep
dragonshriek	Dragon Shriek
<:sunkern:300708136623538186>	Sunkern
Power of 4++	Demolish
po4++	Demolish
shark	Sharpedo
🦈	Sharpedo
pokeball vivillon	Vivillon (Poké Ball Pattern)
pokeballvivillon	Vivillon (Poké Ball Pattern)
poke ball vivillon	Vivillon (Poké Ball Pattern)
vivillon poke ball pattern	Vivillon (Poké Ball Pattern)
vivillonpokeballpattern	Vivillon (Poké Ball Pattern)
vivillon pokeball	Vivillon (Poké Ball Pattern)
vivillon poke ball	Vivillon (Poké Ball Pattern)
vivillonpokeball	Vivillon (Poké Ball Pattern)
vivillon	Vivillon (Meadow Pattern)
vivillon meadow	Vivillon (Meadow Pattern)
vivillonmeadow	Vivillon (Meadow Pattern)
meadow vivillon	Vivillon (Meadow Pattern)
meadowvivillon	Vivillon (Meadow Pattern)
vivillon meadow pattern	Vivillon (Meadow Pattern)
vivillonmeadowpattern	Vivillon (Meadow Pattern)
lgm	Elgyem
mc	Metal Combo
steel combo	Metal Combo
steelcombo	Metal Combo
meowsticm	Meowstic (Male)
meowstic m	Meowstic (Male)
meowstic male	Meowstic (Male)
meowsticmale	Meowstic (Male)
Natsuki	Meowstic (Male)
meowsticf	Meowstic (Female)
meowstic f	Meowstic (Female)
meowstic female	Meowstic (Female)
meowsticfemale	Meowstic (Female)
kyu	Kyurem
🥗	Salazzle
nidoranm	Nidoran-M
nidoran m	Nidoran-M
nidoran male	Nidoran-M
nidoranmale	Nidoran-M
nidoranf	Nidoran-F
nidoran f	Nidoran-F
nidoran female	Nidoran-F
nidoranfemale	Nidoran-F
<:wishiwashi:298602665531801632>	Wishiwashi
🦅	Braviary
murica bird	Braviary
murica	Braviary
porygon 2	Porygon2
dar	Darkrai
moves+5	M+5
moves +5	M+5
+5	M+5
m5	M+5
i will rock ur coin	Meowth
🔪+	Stabilize+
🐮	Miltank
🔪	Stabilize
🔪++	Stabilize++
sa	Shock Attack
guzz	Guzzlord
hound	Houndoom
null	Type: Null
licky	Lickilicky
farfetchd	Farfetch'd
buzztard	Buzzwole
prim	Primarina
buzz	Buzzwole
mban	Mega Banette
alolawak	Marowak (Alola Form)
nihi	Nihilego
onion	Celebi
mdos	Mega Gyarados
msdos	Mega Gyarados (Shiny)
smdos	Mega Gyarados (Shiny)
dp	Downpour
karp	Magikarp
shiny hooh	Ho-Oh (Shiny)
hooh shiny	Ho-Oh (Shiny)
<:mimed:586121904398663680>	Mr. Mime
<:sentret:606882325527265280>	Sentret
<:slowpoke:607362970997096489>	Slowpoke
<:gengaraww:586129744656072725>	Gengar
<:happywifehappylife:300712483633496065>	Diancie
<:Nebby:466066325228224522>	Cosmog
<:pkyogre:588351201708605460>	Primal Kyogre
<:torchicc:586130614277767179>	Torchic
<:LitwickThumbsUp:586133230609104896>	Litwick
<:Ditto:613388898458009636>	Ditto
<:bigsunkern:597006040822710292>	Sunkern
<:snorelax:586118474200514560>	Snorlax
<:pulverizingpancake:379324481606254603>	Try Hard
<:victory:300782887232339968>	Victini
<:psweatduck:586129744102162433>	Psyduck
<:What:305906244936400898>	Dialga
rock trex	Tyrantrum
<:NotLikeRowlet:619472732366569482>	Rowlet
<:ThinkUnown:466066811432075295>	Unown (Q)
<:traps:300782381059538944>	Wobbuffet (Female)
<:Pepesaur:466066451631964193>	Bulbasaur
<:mantine:620628297084174369>	Mantine
zoro	Zoroark
xurk	Xurkitree
xtree	Xurkitree
🌳	Decidueye
🌴	Exeggutor (Alola Form)
🎄	Snover (Holiday)
mowtom	Rotom (Mow Rotom)
AAAAAAAAAAAAAA	Guzzlord
mega succ	Mega Heracross
🐲	Druddigon
AA	Guzzlord
AAA	Guzzlord
AAAA	Guzzlord
AAAAA	Guzzlord
AAAAAA	Guzzlord
AAAAAAA	Guzzlord
AAAAAAAA	Guzzlord
AAAAAAAAA	Guzzlord
AAAAAAAAAA	Guzzlord
AAAAAAAAAAA	Guzzlord
AAAAAAAAAAAA	Guzzlord
AAAAAAAAAAAAA	Guzzlord
⚓	Dhelmise
Flip	Lanturn
mr.mime	Mr. Mime
mimejr.	Mime Jr.
🐻	Stufful
agreninja	Greninja (Ash-Greninja)
greninjaa	Greninja (Ash-Greninja)
a greninja	Greninja (Ash-Greninja)
greninja a	Greninja (Ash-Greninja)
kron	Squirtle
up3	Up, Up, Up
up 3	Up, Up, Up
up3x	Up, Up, Up
upx3	Up, Up, Up
up 3x	Up, Up, Up
up x3	Up, Up, Up
3up	Up, Up, Up
3 up	Up, Up, Up
triple up	Up, Up, Up
tripleup	Up, Up, Up
dabchu	Pikachu (Dabbing)
9tales	Ninetales
gradchu	Pikachu (Graduate)
qs	Blindside
sadness	Mega Swampert
paralyse	Paralyze
mushroomchu	Pikachu (Mushroom Harvest)
pikashroom	Pikachu (Mushroom Harvest)
azula	Mega Gardevoir (Shiny)
businesschu	Pikachu (Intern)
smvoir	Mega Gardevoir (Shiny)
stabilise+	Stabilize+
stabilise	Stabilize
stabilise++	Stabilize++
svoir	Gardevoir (Shiny)
msvoir	Mega Gardevoir (Shiny)
fatfuck	Snorlax
fatcat	Snorlax
fatass	Snorlax
nut succy	Meowstic (Male)
nut sucky	Meowstic (Female)
paralyse+	Paralyze+
para+	Paralyze+
wmgla	Mega Glalie (Winking)
mes	Mesprit
mesp	Mesprit
inci	Incineroar
swaifu	Gardevoir (Shiny)
waifu	Gardevoir
salami	salamence
hns	Hide and Seek
h&s	Hide and Seek
hide	Hide and Seek
hidenseek	Hide and Seek
sd	Shadow Dance
msd	Marshadow
mars	Marshadow
mar	Marshadow
q++	Quirky++
q+	Quirky+
owo	Maractus
incin	Incineroar
mblast	Mega Blastoise
pixie	Pixie Power
pixiep	Pixie Power
poisonm	Poisonous Mist
pmist	Poisonous Mist
sm2	Mewtwo (Shiny)
james	Torchic
pyuku	Pyukumuku
<:okpyukumuku:293532066858008576>	Pyukumuku
<:pyukumukugun:296109528741576704>	Pyukumuku
mbane	Mega Banette
ban	Banette
bane	Banette
<:HappyPichu:645743441661263872>	Pichu
charmie	Charmander
<:fliplup:586129745939398656>	Piplup
chm	Charmander
mgall	Mega Gallade
mgal	Mega Gallade
best skill	Typeless Combo
power of 5++	Extinction
po5++	Extinction
zycore	Zygarde (Core)
squishy	Zygarde (Core)
zycell	Zygarde (Cell)
Snowslash	Sandslash (Alola Form)
🅱️	Mega Beedrill
para	Paralyze
rotom ice	Rotom (Frost Rotom)
ice rotom	Rotom (Frost Rotom)
rotom grass	Rotom (Mow Rotom)
grass rotom	Rotom (Mow Rotom)
rotomice	Rotom (Frost Rotom)
icerotom	Rotom (Frost Rotom)
grassrotom	Rotom (Mow Rotom)
rotomgrass	Rotom (Mow Rotom)
rotom water	Rotom (Wash Rotom)
water rotom	Rotom (Wash Rotom)
waterrotom	Rotom (Wash Rotom)
rotomwater	Rotom (Wash Rotom)
fire rotom	Rotom (Heat Rotom)
rotom fire	Rotom (Heat Rotom)
firerotom	Rotom (Heat Rotom)
rotomfire	Rotom (Heat Rotom)
flying rotom	Rotom (Fan Rotom)
rotom flying	Rotom (Fan Rotom)
flyingrotom	Rotom (Fan Rotom)
rotomflying	Rotom (Fan Rotom)
ktales	Ninetales
81k	Final Effort
🐉	Druddigon
yvel	Yveltal
kanga	Kangaskhan
Disruption Cancel	Mind Zap
Worse MZ	Prank
blue shellos	Shellos (East Sea)
blueshellos	Shellos (East Sea)
blue gastrodon	Gastrodon (East Sea)
bluegastrodon	Gastrodon (East Sea)
pink shellos	Shellos (West Sea)
pinkshellos	Shellos (West Sea)
pink gastrodon	Gastrodon (West Sea)
pinkgastrodon	Gastrodon (West Sea)
cheer+	Super Cheer
<:fukumuku:296109031259635712>	Pyukumuku
para combo	Paralysis Combo
paracombo	Paralysis Combo
paralyze combo	Paralysis Combo
paralyse combo	Paralysis Combo
paralyzecombo	Paralysis Combo
paralysecombo	Paralysis Combo
Meloetta-Fighting	Meloetta (Pirouette Forme)
meloetta fighting	Meloetta (Pirouette Forme)
meloettafighting	Meloetta (Pirouette Forme)
mwaudi	Mega Audino (Winking)
syvel	Yveltal (Shiny)
miku	Mimikyu
wcynda	Cyndaquil (Winking)
opp	Opportunist
why is this a thing	Cloud Shot
wkyu	Kyurem (White Kyurem)
w kyu	Kyurem (White Kyurem)
kyu w	Kyurem (White Kyurem)
kyu b	Kyurem (Black Kyurem)
b kyu	Kyurem (Black Kyurem)
bkyu	Kyurem (Black Kyurem)
po3	Three Force
<:TtarLul:729030864033546310>	Tyranitar
<:FurretNoU:642172677947392020>	Furret
eric	Dratini
shon	Tynamo
dt	Dragon Talon
3 force	Three Force
3force	Three Force
<:woop:740661026563031140>	Wooper
<:GlaceonSip:740667560558854165>	Glaceon
<:Weedcash:621884144393256973>	Whiscash
<:HelloSire:742940228330979361>	Quagsire
<:PingLord:740726383613050884>	Guzzlord
<:SurprisedPichu:716449072864821248>	Pichu
<:SableyeThink:498904130342092800>	Mega Sableye
<:regif:597006037698215956>	Regirock
<:mewtwostare:686030980032626688>	Mewtwo
<:Unamewsed:684468542888083514>	Mew
<:panic:536546701872201728>	Marshtomp
Weekend Meowth	Meowth
weekendmeowth	Meowth
WM	Meowth
heatom	Rotom (Heat Rotom)
washtom	Rotom (Wash Rotom)
fantom	Rotom (Fan Rotom)
frostom	Rotom (Frost Rotom)
wpip	Piplup (Winking)
mcam	Mega Camerupt
vape nation	Vaporeon
8RML	Crustle
wobbm	Wobbuffet (Male)
wobbf	Wobbuffet (Female)
Non Stop	Damage Streak
Nonstop	Damage Streak
🦛m	Hippowdon (Male)
🦛F	Hippowdon (Female)
🐐	Gogoat
runs ded	Galvantula
giratina looking to left	Giratina (Altered Forme)
giratina looking to right	Giratina (Origin Forme)
ddra	Dancing Dragons
ddragons	Dancing Dragons
Not Disruption Delay	Dancing Dragons
ppo	Pixie Power
ppa	Poison Pact
disruption delay	DD
disruptiondelay	DD
megastart	MS
mega start	MS
attack power up	APU
attackpowerup	APU
attack up	APU
ap+	APU
attack power+	APU
attack+	APU
attackpower+	APU
attackup	APU
complexity-1	C-1
complexity -1	C-1
time+10	T+10
time +10	T+10
+10	T+10
t10	T+10
no hearts needed	NHN
noheartsneeded	NHN
drop rate increase	DRI
droprateincrease	DRI
superior super catch time	SSCT
superiorsupercatchtime	SSCT
heart regen	HR
heart regenerate	HR
heartregenerate	HR
heart recovery	HR
heartrecovery	HR
exp x1.5	EXP
expx1.5	EXP
exp points x1.5	EXP
experience x1.5	EXP
exppointsx1.5	EXP
experiencex1.5	EXP
giraleft	Giratina (Altered Forme)
giraright	Giratina (Origin Forme)
eternal floette	Floette (Eternal)
eternalfloette	Floette (Eternal)
efloette	Floette (Eternal)
dabbing pikachu	Pikachu (Dabbing)
dabbingpikachu	Pikachu (Dabbing)
shitfish	Bruxish
scheer	Super Cheer
azula what skill should I get	Rock Shot α
Block Shot Γ	Destruction
Block Shot Gamma	Destruction
water combo	Big Wave
watercombo	Big Wave
normal combo	Double Normal
normalcombo	Double Normal
dragon combo	Dancing Dragons
dragoncombo	Dancing Dragons
fire combo	Pyre
firecombo	Pyre
flying combo	Sky Blast
flyingcombo	Sky Blast
ghost combo 2	Shadow Dance
ghostcombo2	Shadow Dance
Dark Combo	Sinister Power
DarkCombo	Sinister Power
Fighting Combo	Pummel
FightingCombo	Pummel
Poison Combo	Poison Pact
PoisonCombo	Poison Pact
Fairy Combo	Pixie Power
FairyCombo	Pixie Power
Ice Combo	Ice Dance
IceCombo	Ice Dance
ground combo	Ground Forces
groundcombo	Ground Forces
kantochu	Pikachu (Original Cap)
johtochu	Pikachu (Original Cap)
kanto pikachu	Pikachu (Original Cap)
kantopikachu	Pikachu (Original Cap)
johto pikachu	Pikachu (Original Cap)
johtopikachu	Pikachu (Original Cap)
hoenn pikachu	Pikachu (Hoenn Cap)
hoennpikachu	Pikachu (Hoenn Cap)
sinnoh pikachu	Pikachu (Sinnoh Cap)
sinnohpikachu	Pikachu (Sinnoh Cap)
unova pikachu	Pikachu (Unova Cap)
unovapikachu	Pikachu (Unova Cap)
kalos pikachu	Pikachu (Kalos Cap)
kalospikachu	Pikachu (Kalos Cap)
alola pikachu	Pikachu (Alola Cap)
alolapikachu	Pikachu (Alola Cap)
delelewoop	Kricketune
januarychu	Pikachu (Lion Dancer)
januarypikachu	Pikachu (Lion Dancer)
january pikachu	Pikachu (Lion Dancer)
janchu	Pikachu (Lion Dancer)
janpikachu	Pikachu (Lion Dancer)
jan pikachu	Pikachu (Lion Dancer)
februarychu	Pikachu (Kotatsu)
februarypikachu	Pikachu (Kotatsu)
february pikachu	Pikachu (Kotatsu)
febchu	Pikachu (Kotatsu)
febpikachu	Pikachu (Kotatsu)
feb pikachu	Pikachu (Kotatsu)
marchchu	Pikachu (Graduate)
marchpikachu	Pikachu (Graduate)
march pikachu	Pikachu (Graduate)
marchu	Pikachu (Graduate)
marpikachu	Pikachu (Graduate)
mar pikachu	Pikachu (Graduate)
aprilpikachu	Pikachu (Intern)
april pikachu	Pikachu (Intern)
aprilchu	Pikachu (Intern)
maychu	Pikachu (Children's Day)
maypikachu	Pikachu (Children's Day)
may pikachu	Pikachu (Children's Day)
junechu	Pikachu (Rainy Season)
junepikachu	Pikachu (Rainy Season)
june pikachu	Pikachu (Rainy Season)
julychu	Pikachu (Summer Festival)
julypikachu	Pikachu (Summer Festival)
july pikachu	Pikachu (Summer Festival)
augustchu	Pikachu (Beach Walk)
augustpikachu	Pikachu (Beach Walk)
august pikachu	Pikachu (Beach Walk)
augchu	Pikachu (Beach Walk)
augpikachu	Pikachu (Beach Walk)
aug pikachu	Pikachu (Beach Walk)
septemberchu	Pikachu (Pastry Chef)
septemberpikachu	Pikachu (Pastry Chef)
september pikachu	Pikachu (Pastry Chef)
sepchu	Pikachu (Pastry Chef)
seppikachu	Pikachu (Pastry Chef)
sep pikachu	Pikachu (Pastry Chef)
octoberchu	Pikachu (Artist)
octoberpikachu	Pikachu (Artist)
october pikachu	Pikachu (Artist)
octchu	Pikachu (Artist)
octpikachu	Pikachu (Artist)
oct pikachu	Pikachu (Artist)
novemberchu	Pikachu (Mushroom Harvest)
novemberpikachu	Pikachu (Mushroom Harvest)
november pikachu	Pikachu (Mushroom Harvest)
novchu	Pikachu (Mushroom Harvest)
novpikachu	Pikachu (Mushroom Harvest)
nov pikachu	Pikachu (Mushroom Harvest)
decemberchu	Pikachu (Year's End)
decemberpikachu	Pikachu (Year's End)
december pikachu	Pikachu (Year's End)
decchu	Pikachu (Year's End)
decpikachu	Pikachu (Year's End)
dec pikachu	Pikachu (Year's End)
spc	Super Cheer
⚔️	Doublade
